NAME,ID,Sec_1,Sec_2,Sec_3,Sec_4,Sec_5,Sec_6,Sec_7,Sec_8,Sec_9,Sec_10,Sec_11,Sec_12,Sec_13,Sec_14,Sec_15,Sec_16,Sec_17,Sec_18,Sec_19
Kirinyaga,KR,58752,1978,6544,630,625,893,8037,17392,5311,2964,2326,8734,3058,1282,9099,5973,3716,3385,-913
Kisii,KI,91173,570,5662,549,853,8461,11581,35506,2432,1528,4872,10245,3490,2018,16171,14261,5973,3632,-1665
Kisumu,KS,39205,2271,31294,6574,2099,21410,20397,46321,4930,4837,12978,33908,5462,3055,13241,16053,5744,6718,-4258
Kitui,KT,43259,901,4224,107,1169,4119,6666,23237,1868,3180,1923,7863,2561,1478,15924,15064,6277,4275,-828
Kwale,KW,43623,12902,6891,442,649,5775,1956,13392,4695,2371,1445,10532,1817,950,13861,6739,4109,3233,-517
Laikipia,LI,23401,162,2691,425,1454,10680,10689,15515,2201,2470,2754,6736,1782,1451,9142,5770,1364,2472,-958
Lamu,LA,9611,175,1309,100,135,198,2671,8948,306,774,430,2199,411,280,5658,1156,1505,769,-187
Machakos,MC,55366,13385,71149,3942,1422,31373,32691,33186,4185,8400,6027,32468,7231,3731,18207,14996,5430,8684,-1975
Makueni,MK,34376,885,5084,220,695,5900,10975,16964,1929,2376,1439,6053,2970,1497,12339,11655,4238,4630,-614
Mandera,MA,22435,247,1232,438,371,4659,1475,2185,136,788,740,3589,219,311,15887,3658,3806,966,-161
Marsabit,MB,16863,100,690,13598,165,14371,1698,2744,187,810,772,2253,341,383,9477,2065,2263,982,-317
Meru,MU,211033,4367,17669,1805,1002,8671,10523,39267,936,4199,8066,20926,5023,2379,15580,15154,7696,6789,-2252
Migori,MI,53146,8361,4260,379,637,1580,4698,16304,1555,2217,1253,5354,2404,1054,13904,16568,3787,3759,-501
Mombasa,MO,4461,1603,84676,10136,1695,72513,61898,117375,12693,14581,48316,58511,7845,5320,14767,8388,8053,12104,-16535
Murang'a,MR,109649,3093,9327,2285,1224,14281,6031,18839,2797,3611,2964,11983,4417,2161,14035,11622,4824,4635,-1250
Nairobi,NI,5209,1048,320721,27517,18629,344919,460248,379207,29054,139410,645464,532969,41521,27892,53129,48966,38947,56712,-175068
Nakuru,NA,160792,825,32116,50067,3452,31765,59254,73720,9795,9409,31791,30222,9099,5480,21123,24837,9459,12056,-5811
Nandi,NN,88260,823,11987,482,584,1972,3890,13166,1368,2162,1374,6997,2112,994,12177,9417,4567,2935,-577
Narok,NK,85426,295,9887,371,725,2010,6397,18398,1340,5617,1776,9866,1636,1093,19469,11814,6435,3288,-680
Nyamira,NM,59574,1911,6286,330,407,4945,5443,14483,1425,1337,768,4983,1204,845,9481,6735,4400,1352,-334
Nyandarua,NY,112303,984,2379,305,407,883,2157,9772,1633,1304,1459,5215,2231,1107,10006,6546,1750,2229,-573
Nyeri,NE,87052,3112,12489,1141,1888,2626,21927,28108,2378,5676,7566,13204,4016,2673,12207,10744,5595,3944,-1981
Samburu,SA,4891,66,1312,66,180,1225,2362,2466,1643,385,406,2541,334,530,8468,1978,1738,611,-144
Siaya,SI,43875,1577,3422,497,773,8141,1301,13800,517,2674,854,6839,2841,1019,10975,12956,3817,4429,-356
TaitaTaveta,TT,17277,1010,2713,243,681,3851,13702,7423,1313,1507,1071,5092,1227,883,9429,3413,779,1813,-432
TanaRiver,TR,10531,79,755,79,213,224,1433,3423,44,883,306,2095,361,334,11003,1922,1398,709,-128
Tharaka-Nithi,TN,25056,255,3038,120,366,6191,1604,7780,1429,1649,808,2693,1358,732,6671,7331,2981,1395,-276
TransNzoia,TZ,68971,379,5604,405,512,4892,16904,27828,2334,5307,3045,9656,2288,1125,10940,11035,3276,4154,-1149
Turkana,TU,39984,124,2476,49,468,6002,5927,21570,391,988,1185,7714,596,715,15293,5124,1717,1650,-344
UasinGishu,UG,67057,990,11373,1567,2375,13508,23524,43327,4644,2899,15593,22692,5754,2618,13458,23753,12471,6873,-5598
Vihiga,VI,35747,2314,1407,319,473,7490,3399,7963,44,923,815,7004,1480,918,7710,8036,2807,2082,-347
Wajir,WA,21829,624,1275,59,349,5722,1063,3796,51,388,425,1768,235,238,14521,2772,3171,835,-199
WestPokot,WP,30918,3935,940,6234,318,812,2914,13257,422,814,310,2027,373,367,10372,6731,2321,871,-119
