NAME,ID,Sec_1,Sec_2,Sec_3,Sec_4,Sec_5,Sec_6,Sec_7,Sec_8,Sec_9,Sec_10,Sec_11,Sec_12,Sec_13,Sec_14,Sec_15,Sec_16,Sec_17,Sec_18,Sec_19
Baringo,BA,30592,174,4555,128,401,2316,2531,12073,238,2456,1366,3443,1727,1133,10812,6242,3866,1564,-399
Bomet,BO,88012,861,12761,410,601,13798,1377,14217,1072,1139,1064,3973,2070,1039,10829,9316,2808,2490,-434
Bungoma,BU,92207,420,8826,704,900,7140,11309,30047,2310,4248,2982,10703,3609,1868,18055,21253,4655,4777,-1200
Busia,BS,32140,409,4409,227,629,10092,2837,12335,184,1166,1409,4640,1738,872,10260,9729,3591,3165,-480
Elgeyo-Marakwet,EA,88788,673,2712,147,285,1367,2194,11642,235,1468,373,3344,758,515,7362,5062,2748,824,-103
Embu,EM,43459,315,3691,22036,1358,15307,10416,30183,1715,2421,3060,7717,2201,1220,8862,6759,3680,2721,-827
Garissa,GA,21235,775,1373,491,917,2717,5797,2718,602,875,1069,4208,271,434,14373,3600,3659,1146,-470
HomaBay,HB,66218,592,6573,201,682,3141,5287,17195,1354,1938,1187,5760,2805,1263,11953,13172,4438,4159,-470
Isiolo,IS,4543,56,531,266,275,3437,2941,1840,544,674,524,1795,459,545,7892,1201,1442,882,-233
Kajiado,KA,12916,3881,9073,2550,815,16972,9209,18967,4484,6347,5250,30655,5393,3179,11654,6639,5688,8150,-2086
Kakamega,KK,94481,2002,16902,666,1641,4453,15228,22784,2487,6540,3463,16043,4297,2410,19539,25647,2815,5689,-1319
Kericho,KC,81513,203,14659,1502,816,6086,12352,16270,2174,2877,3916,8297,2591,1387,10618,11814,3831,3150,-1347
Kiambu,KM,100287,5708,75866,10742,4798,107655,34129,69264,5964,14314,19794,60227,19514,10721,20832,33864,13445,22139,-6703
Kilifi,KL,45695,4628,40821,1089,2229,2836,11861,35416,4331,6536,3848,20860,4129,2156,18217,14414,5463,6750,-1476
