COUNTY,SCENARIO,AREA,YEAR,TECHNOLOGY,VALUE
Kilifi,Policy,Rural,2033,Wood ICS,85
Kilifi,Policy,Urban,2023,Charcoal ICS,79
Kilifi,Policy,Urban,2023,Electric (coil/induction),3
Kilifi,Policy,Urban,2023,Gasifier Stove,5
Kilifi,Policy,Urban,2023,Kerosene,11
Kilifi,Policy,Urban,2023,LPG Meko,27
Kilifi,Policy,Urban,2023,LPG Stove,8
Kilifi,Policy,Urban,2023,Metallic Charcoal stove,39
Kilifi,Policy,Urban,2023,TSOF,42
Kilifi,Policy,Urban,2023,Wood ICS,11
Kilifi,Policy,Urban,2028,Bio-Ethanol,5
Kilifi,Policy,Urban,2028,Charcoal ICS,72
Kilifi,Policy,Urban,2028,EPC,6
Kilifi,Policy,Urban,2028,Electric (coil/induction),4
Kilifi,Policy,Urban,2028,Gasifier Stove,10
Kilifi,Policy,Urban,2028,Kerosene,5.5
Kilifi,Policy,Urban,2028,LPG Meko,33.5
Kilifi,Policy,Urban,2028,LPG Stove,10
Kilifi,Policy,Urban,2028,Metallic Charcoal stove,19.5
Kilifi,Policy,Urban,2028,TSOF,21
Kilifi,Policy,Urban,2028,Wood ICS,15.5
Kilifi,Policy,Urban,2033,Bio-Ethanol,10
Kilifi,Policy,Urban,2033,Charcoal ICS,65
Kilifi,Policy,Urban,2033,EPC,12
Kilifi,Policy,Urban,2033,Electric (coil/induction),5
Kilifi,Policy,Urban,2033,LPG Meko,40
Kilifi,Policy,Urban,2033,LPG Stove,12
Kilifi,Policy,Urban,2033,Wood ICS,20
Kilifi,SDG,Rural,2023,Biogas,0.1
Kilifi,SDG,Rural,2023,Charcoal ICS,19
Kilifi,SDG,Rural,2023,Kerosene,6
Kilifi,SDG,Rural,2023,LPG Meko,2
Kilifi,SDG,Rural,2023,Metallic Charcoal stove,19
Kilifi,SDG,Rural,2023,TSOF,97
Kilifi,SDG,Rural,2023,Wood ICS,21
Kilifi,SDG,Rural,2028,Bio-Ethanol,25
Kilifi,SDG,Rural,2028,Biogas,1.6
Kilifi,SDG,Rural,2028,EPC,2.5
Kilifi,SDG,Rural,2028,Electric (coil/induction),2.5
Kilifi,SDG,Rural,2028,LPG Meko,18.5
Kilifi,SDG,Rural,2028,LPG Stove,5
Kilifi,SDG,Rural,2033,Bio-Ethanol,50
Kilifi,SDG,Rural,2033,Biogas,3
Kilifi,SDG,Rural,2033,EPC,5
Kilifi,SDG,Rural,2033,Electric (coil/induction),5
Kilifi,SDG,Rural,2033,LPG Meko,35
Kilifi,SDG,Rural,2033,LPG Stove,10
Kilifi,SDG,Urban,2023,Charcoal ICS,79
Kilifi,SDG,Urban,2023,Electric (coil/induction),3
Kilifi,SDG,Urban,2023,Kerosene,11
Kilifi,SDG,Urban,2023,LPG Meko,27
Kilifi,SDG,Urban,2023,LPG Stove,8
Kilifi,SDG,Urban,2023,Metallic Charcoal stove,39
Kilifi,SDG,Urban,2023,TSOF,42
Kilifi,SDG,Urban,2023,Wood ICS,11
Kilifi,SDG,Urban,2028,Bio-Ethanol,25
Kilifi,SDG,Urban,2028,EPC,7.5
Kilifi,SDG,Urban,2028,Electric (coil/induction),5.5
Kilifi,SDG,Urban,2028,LPG Meko,33.5
Kilifi,SDG,Urban,2028,LPG Stove,14
Kilifi,SDG,Urban,2033,Bio-Ethanol,50
Kilifi,SDG,Urban,2033,EPC,15
