COUNTY Name,COUNTY Id,Sec_1,Sec_2,Sec_3,Sec_4,Sec_5,Sec_6,Sec_7,Sec_8,Sec_9,Sec_10,Sec_11,Sec_12,Sec_13,Sec_14,Sec_15,Sec_16,Sec_17,Sec_18,Sec_19
Baringo,BA,"30,592",174,"4,555",128,401,"2,316","2,531","12,073",238,"2,456","1,366","3,443","1,727","1,133","10,812","6,242","3,866","1,564",-399
Bomet,BO,"88,012",861,"12,761",410,601,"13,798","1,377","14,217","1,072","1,139","1,064","3,973","2,070","1,039","10,829","9,316","2,808","2,490",-434
Bungoma,BU,"92,207",420,"8,826",704,900,"7,140","11,309","30,047","2,310","4,248","2,982","10,703","3,609","1,868","18,055","21,253","4,655","4,777","-1,200"
Busia,BS,"32,140",409,"4,409",227,629,"10,092","2,837","12,335",184,"1,166","1,409","4,640","1,738",872,"10,260","9,729","3,591","3,165",-480
Elgeyo-Marakwet,EA,"88,788",673,"2,712",147,285,"1,367","2,194","11,642",235,"1,468",373,"3,344",758,515,"7,362","5,062","2,748",824,-103
Embu,EM,"43,459",315,"3,691","22,036","1,358","15,307","10,416","30,183","1,715","2,421","3,060","7,717","2,201","1,220","8,862","6,759","3,680","2,721",-827
Garissa,GA,"21,235",775,"1,373",491,917,"2,717","5,797","2,718",602,875,"1,069","4,208",271,434,"14,373","3,600","3,659","1,146",-470
HomaBay,HB,"66,218",592,"6,573",201,682,"3,141","5,287","17,195","1,354","1,938","1,187","5,760","2,805","1,263","11,953","13,172","4,438","4,159",-470
Isiolo,IS,"4,543",56,531,266,275,"3,437","2,941","1,840",544,674,524,"1,795",459,545,"7,892","1,201","1,442",882,-233
Kajiado,KA,"12,916","3,881","9,073","2,550",815,"16,972","9,209","18,967","4,484","6,347","5,250","30,655","5,393","3,179","11,654","6,639","5,688","8,150","-2,086"
Kakamega,KK,"94,481","2,002","16,902",666,"1,641","4,453","15,228","22,784","2,487","6,540","3,463","16,043","4,297","2,410","19,539","25,647","2,815","5,689","-1,319"
