COUNTY Name,COUNTY Id,Sec_1,Sec_2,Sec_3,Sec_4,Sec_5,Sec_6,Sec_7,Sec_8,Sec_9,Sec_10,Sec_11,Sec_12,Sec_13,Sec_14,Sec_15,Sec_16,Sec_17,Sec_18,Sec_19
Baringo,BA,"32,591",226,"4,460",119,392,"2,594","2,833","15,686",262,"2,713","1,584","3,700","1,812","1,400","12,156","6,558","2,962","1,718",-431
Bomet,BO,"103,861","1,116","15,088",380,596,"15,513","1,551","17,994","1,181","1,258","1,246","4,232","2,171","1,284","12,041","9,709","3,317","2,725",-466
Bungoma,BU,"107,476",546,"8,342",617,834,"7,993","12,505","38,652","2,546","4,690","3,498","11,496","3,785","2,308","19,915","22,167","4,390","5,226","-1,286"
Busia,BS,"39,408",530,"5,746",211,601,"11,332","3,196","15,451",202,"1,288","1,618","4,998","1,822","1,077","11,808","10,185","3,123","3,450",-498
Elgeyo-Marakwet,EA,"73,655",873,"2,698",136,280,"1,524","2,471","15,031",259,"1,621",431,"3,593",794,636,"8,198","5,278","2,465",911,-111
Embu,EM,"50,858",409,"4,266","19,161","1,295","17,190","11,619","39,527","1,890","2,674","3,569","8,281","2,308","1,508","10,561","6,993","3,763","2,956",-892
Garissa,GA,"19,982","1,005","1,418",456,"1,018","3,049","6,473","3,394",664,966,"1,265","4,508",284,536,"14,749","3,777","4,166","1,280",-509
HomaBay,HB,"69,488",767,"9,323",186,628,"3,512","5,955","21,699","1,492","2,138","1,408","6,188","2,942","1,560","12,508","13,792","4,588","4,531",-510
Isiolo,IS,"4,070",72,579,247,271,"3,862","3,312","2,320",600,745,626,"1,929",482,674,"7,676","1,264","2,050",962,-255
Kajiado,KA,"16,966","5,036","10,751","5,857",818,"19,038","10,370","24,045","4,942","7,010","6,142","32,857","5,656","3,928","14,881","6,991","5,544","8,811","-2,230"
Kakamega,KK,"104,332","2,595","20,384",618,"1,655","4,952","16,990","28,878","2,741","7,224","4,025","17,228","4,507","2,977","22,576","26,731","3,251","6,216","-1,397"
Kericho,KC,"88,957",263,"17,518","1,457",762,"6,820","13,608","20,723","2,396","3,177","4,591","8,898","2,718","1,713","12,419","12,249","4,185","3,434","-1,447"
